Date,Timestamp, Ticker,  Message ,  Price , % of Vol , Block Type , Value , SecurityType, Industry, Sector,  30DayAverage , Float, EarningsDate
11/15/2019,4:25:03 PM,CARG," 287,600 ", $39.68 ,31%,DARK BLOCK,$11.0M,Equity,Services,Communications," 923,145 ",132,20200227
11/15/2019,4:00:05 PM,CASY," 229,591 ", $170.69 ,97%,DARK BLOCK,$39.0M,Equity,"Retail - Food & Beverage, Drug & Tobacco",Retail," 236,699 ",36,20191209
11/15/2019,4:24:49 PM,CBRE," 153,686 ", $56.44 ,11%,DARK BLOCK,$8.6M,Equity,"Property, Real Estate & Development",Real Estate," 1,398,941 ",331,20200212
11/15/2019,5:42:16 PM,CBS," 181,613 ", $38.57 ,3%,DARK BLOCK,$7.0M,Equity,Radio & Television,Media," 5,246,381 ",372,20200213
11/15/2019,5:40:21 PM,CCK," 101,462 ", $73.65 ,6%,DARK BLOCK,$7.4M,Equity,Metal Products,Metals & Mining," 1,566,942 ",132,20200205
11/15/2019,2:22:26 PM,CDK," 284,599 ", $51.95 ,45%,DARK ISOAA,$14.0M,Equity,Business Services,Commercial Services & Supplies," 630,360 ",120,20200204
11/15/2019,3:05:29 PM,CDK," 151,256 ", $52.30 ,24%,DARK BLOCK,$7.9M,Equity,Business Services,Commercial Services & Supplies," 630,360 ",120,20200204
11/15/2019,4:00:11 PM,CDLX," 120,200 ", $56.66 ,25%,DARK AVGPRC,$6.8M,Equity,Computer Hardware & Equipment,IT Hardware," 480,585 ",22,20200303
11/15/2019,4:24:49 PM,CDNS," 144,150 ", $67.48 ,10%,DARK BLOCK,$9.7M,Equity,Internet & Software,IT Services & Software," 1,516,500 ",274,20200218
11/15/2019,4:00:08 PM,CELG," 332,402 ", $110.02 ,8%,DARK BLOCK,$36.0M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 3,979,473 ",708,20200130
11/15/2019,5:43:42 PM,CELG," 267,000 ", $110.02 ,7%,DARK AVGPRC,$29.0M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 3,979,473 ",708,20200130
11/15/2019,11:52:58 AM,CELG," 100,000 ", $110.00 ,3%,DARK BLOCK,$11.0M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 3,979,473 ",708,20200130
11/15/2019,12:40:34 PM,CERN," 1,885,041 ", $67.75 ,99%,DARK ISOBB,$127.0M,Equity,IT Services,IT Services & Software," 1,913,409 ",311,20200204
11/15/2019,4:24:49 PM,CERN," 119,943 ", $68.40 ,6%,DARK BLOCK,$8.2M,Equity,IT Services,IT Services & Software," 1,913,409 ",311,20200204
11/15/2019,4:01:47 PM,CFR," 458,077 ", $93.89 ,119%,DARK BLOCK,$43.0M,Equity,Banking,Banking & Savings," 385,302 ",59,20200130
11/15/2019,1:02:21 PM,CHD," 247,200 ", $67.18 ,16%,DARK BLOCK,$16.0M,Equity,Household & Personal Products,Household & Personal Products," 1,563,278 ",240,20200204
11/15/2019,8:04:59 AM,CHL," 200,000 ", $39.07 ,22%,DARK AVGPRC,$7.8M,Equity,Services,Communications," 900,807 ",4095,TBA
11/15/2019,4:00:37 PM,CL," 191,072 ", $66.37 ,5%,DARK BLOCK,$12.0M,Equity,Household & Personal Products,Household & Personal Products," 3,685,334 ",847,20200124
11/15/2019,4:00:35 PM,CL," 104,934 ", $66.37 ,3%,DARK BLOCK,$6.9M,Equity,Household & Personal Products,Household & Personal Products," 3,685,334 ",847,20200124
11/15/2019,4:05:16 PM,CMC," 379,800 ", $20.13 ,25%,DARK AVGPRC,$7.6M,Equity,Non-Precious Metals,Metals & Mining," 1,519,021 ",116,20200106
11/15/2019,12:51:50 PM,CMCSA," 250,000 ", $44.60 ,2%,DARK ISO,$11.0M,Equity,Radio & Television,Media," 14,638,588 ",4487,20200122
11/15/2019,4:00:03 PM,CMCSA," 237,000 ", $44.56 ,2%,DARK BLOCK,$10.0M,Equity,Radio & Television,Media," 14,638,588 ",4487,20200122
11/15/2019,12:53:40 PM,CMCSA," 178,352 ", $44.60 ,1%,DARK AVGPRC,$7.9M,Equity,Radio & Television,Media," 14,638,588 ",4487,20200122
11/15/2019,4:24:49 PM,CMCSA," 168,273 ", $44.56 ,1%,DARK BLOCK,$7.4M,Equity,Radio & Television,Media," 14,638,588 ",4487,20200122
11/15/2019,4:59:03 PM,CMCSA," 153,541 ", $44.56 ,1%,DARK BLOCK,$6.8M,Equity,Radio & Television,Media," 14,638,588 ",4487,20200122
11/15/2019,12:08:09 PM,CMCSA," 145,100 ", $44.68 ,1%,DARK BLOCK,$6.4M,Equity,Radio & Television,Media," 14,638,588 ",4487,20200122
11/15/2019,12:45:36 PM,CMCSA," 135,000 ", $44.60 ,1%,DARK BLOCK,$6.0M,Equity,Radio & Television,Media," 14,638,588 ",4487,20200122
11/15/2019,5:40:21 PM,CMCSA," 129,399 ", $44.56 ,1%,DARK BLOCK,$5.7M,Equity,Radio & Television,Media," 14,638,588 ",4487,20200122
11/15/2019,11:49:24 AM,CNP," 322,400 ", $25.39 ,7%,DARK BLOCK,$8.1M,Equity,Electric Utilities,Electric Utilities," 4,612,772 ",501,20200227
11/15/2019,11:27:24 AM,CNP," 200,000 ", $25.35 ,4%,DARK ISO,$5.0M,Equity,Electric Utilities,Electric Utilities," 4,612,772 ",501,20200227
11/15/2019,10:44:24 AM,COLD," 150,000 ", $36.34 ,10%,DARK BLOCK,$5.4M,Equity,REITs,Real Estate," 1,567,890 ",191,20200220
11/15/2019,2:01:01 PM,CPRI," 200,000 ", $36.86 ,8%,BLOCK,$7.3M,Equity,Retail - Apparel and Accessories,Retail," 2,361,241 ",151,20200205
11/15/2019,4:24:49 PM,CPRT," 281,561 ", $85.99 ,21%,DARK BLOCK,$24.0M,Equity,Business Services,Commercial Services & Supplies," 1,346,231 ",199,20191119
11/15/2019,4:00:08 PM,CPRT," 138,377 ", $85.99 ,10%,DARK BLOCK,$11.0M,Equity,Business Services,Commercial Services & Supplies," 1,346,231 ",199,20191119
11/15/2019,4:24:49 PM,CSCO," 606,596 ", $45.09 ,3%,DARK BLOCK,$27.0M,Equity,Manufacturing,Communications," 19,012,067 ",4242,20200212
11/15/2019,10:28:29 AM,CSCO," 290,000 ", $45.40 ,2%,BLOCK,$13.0M,Equity,Manufacturing,Communications," 19,012,067 ",4242,20200212
11/15/2019,9:59:52 AM,CSCO," 158,288 ", $45.50 ,1%,DARK BLOCK,$7.2M,Equity,Manufacturing,Communications," 19,012,067 ",4242,20200212
11/15/2019,4:00:11 PM,CSGS," 120,633 ", $57.02 ,52%,DARK AVGPRC,$6.8M,Equity,IT Services,IT Services & Software," 231,691 ",32,20200205
11/15/2019,2:23:06 PM,CTL," 744,789 ", $15.00 ,6%,DARK ISOAADay,$11.0M,Equity,Services,Communications," 12,963,396 ",1084,20200212
11/15/2019,2:34:09 PM,CTL," 495,600 ", $15.00 ,4%,DARK ISOAA,$7.4M,Equity,Services,Communications," 12,963,396 ",1084,20200212
11/15/2019,2:41:21 PM,CTVA," 250,000 ", $25.70 ,5%,DARK BLOCK,$6.4M,Equity,Agricultural Crop Production,Agriculture," 4,774,335 ",748,20200130
11/15/2019,4:00:45 PM,CVS," 223,925 ", $74.29 ,3%,DARK BLOCK,$16.0M,Equity,Diagnostic & Health Related Services,Health Care Services," 7,268,661 ",1294,20200219
11/15/2019,5:40:33 PM,CVX," 262,951 ", $120.64 ,5%,DARK BLOCK,$31.0M,Equity,Refining & Marketing,Oil & Gas," 4,986,140 ",1885,20200207
11/15/2019,4:25:03 PM,CY," 944,900 ", $23.44 ,28%,DARK BLOCK,$22.0M,Equity,Semiconductors,IT Hardware," 3,420,863 ",368,20200130
11/15/2019,1:51:54 PM,CZR," 500,000 ", $12.91 ,6%,DARK BLOCK,$6.4M,Equity,"Hotels, Restaurants & Travel",Consumer Services," 9,040,555 ",677,20200220
11/15/2019,2:04:48 PM,CZR," 500,000 ", $12.93 ,6%,DARK BLOCK,$6.4M,Equity,"Hotels, Restaurants & Travel",Consumer Services," 9,040,555 ",677,20200220
11/15/2019,5:42:15 PM,DAL," 500,030 ", $56.85 ,8%,DARK BLOCK,$28.0M,Equity,Airlines/Air Freight,Transport," 6,637,005 ",643,20200121
11/15/2019,4:00:27 PM,DAL," 193,229 ", $56.85 ,3%,DARK BLOCK,$10.0M,Equity,Airlines/Air Freight,Transport," 6,637,005 ",643,20200121
11/15/2019,4:00:26 PM,DAL," 145,411 ", $56.85 ,2%,DARK BLOCK,$8.2M,Equity,Airlines/Air Freight,Transport," 6,637,005 ",643,20200121
11/15/2019,4:26:59 PM,DBC," 2,000,000 ", $15.58 ,182%,DARK BLOCK,$31.0M,ETF/Fund,ETFs,Miscellaneous," 1,097,690 ",88,N/A
11/15/2019,1:17:43 PM,DD," 100,000 ", $68.68 ,2%,DARK BLOCK,$6.8M,Equity,Plastics,Synthetic Materials," 4,048,271 ",740,20200130
11/15/2019,4:00:34 PM,DFS," 123,506 ", $84.52 ,8%,DARK BLOCK,$10.0M,Equity,Credit & Lending,Credit & Lending," 1,621,581 ",310,20200123
11/15/2019,4:05:46 PM,DG," 156,700 ", $160.14 ,11%,DARK BLOCK,$25.0M,Equity,Retail - General Merchandise/Department Stores,Retail," 1,381,726 ",255,20191205
11/15/2019,11:21:11 AM,DGRW," 302,148 ", $47.42 ,132%,DARK BLOCK,$14.0M,ETF/Fund,ETFs,Miscellaneous," 229,348 ",65,N/A
11/15/2019,2:23:39 PM,DHI," 393,104 ", $53.61 ,8%,DARK BLOCK,$21.0M,Equity,Builders,Consumer Services," 4,903,638 ",344,20200124
11/15/2019,5:40:29 PM,DHI," 221,568 ", $53.50 ,5%,DARK BLOCK,$11.0M,Equity,Builders,Consumer Services," 4,903,638 ",344,20200124
